PUborough,DOborough,avg(speed)
Queens,EWR,32.69113210679227
Staten Island,Queens,32.56183475157797
Brooklyn,Queens,19.966505660860186
Bronx,EWR,35.391856549313516
Manhattan,Queens,20.437305189102275
Staten Island,EWR,34.96196546143691
EWR,Queens,29.51823820942019
EWR,Staten Island,27.926123204605513
Queens,Bronx,27.577695344756147
Manhattan,Brooklyn,14.897793387227031
Manhattan,Bronx,19.485244526508602
Queens,Manhattan,21.842997329308655
Bronx,Bronx,12.872679168456216
Brooklyn,Manhattan,15.280260570311114
Brooklyn,EWR,25.109186502003134
Bronx,Queens,24.992129599333804
Queens,Staten Island,33.52139865542421
Bronx,Manhattan,16.324074829591737
Brooklyn,Staten Island,26.116291206557747
EWR,EWR,25.03262361280297
Brooklyn,Bronx,24.426964846997365
Staten Island,Brooklyn,24.476795999758863
Queens,Queens,16.55346308242014
Manhattan,EWR,27.910798656489252
Manhattan,Staten Island,27.845101140164086
Staten Island,Manhattan,24.810800920752353
EWR,Manhattan,24.896710787442192
EWR,Brooklyn,27.098928516685454
Manhattan,Manhattan,10.268472747785834
Brooklyn,Brooklyn,11.20335423897705
Bronx,Brooklyn,23.967503089675017
Queens,Brooklyn,23.26543382443937
Staten Island,Staten Island,18.38689304405657
Bronx,Staten Island,37.57544070906251
Staten Island,Bronx,37.0642539595199
EWR,Bronx,33.16456691531135
