,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,longitude,latitude
0,1,0.116357453189,0.0007823067885,Newark Airport,1,EWR,936681.7498053049,190522.13027768553
1,2,0.43346966679,0.00486634037837,Jamaica Bay,2,Queens,1033536.0827942044,161853.98229982704
2,3,0.0843411059012,0.000314414156821,Allerton/Pelham Gardens,3,Bronx,1027136.41219455,254730.01084850729
3,4,0.0435665270921,0.000111871946192,Alphabet City,4,Manhattan,990424.0195702165,203100.04043184966
4,5,0.0921464898574,0.000497957489363,Arden Heights,5,Staten Island,932133.2098496482,139954.54193567485
5,6,0.150490542523,0.000606460984581,Arrochar/Fort Wadsworth,6,Staten Island,964099.0173973292,157533.67206276953
6,7,0.107417171123,0.000389787989274,Astoria,7,Queens,1006324.9388191998,216569.41102095693
7,8,0.0275906911574,2.6587716279e-05,Astoria Park,8,Queens,1005541.5825920925,222960.5823142156
8,9,0.0997840924705,0.000338443803197,Auburndale,9,Queens,1043403.6924028024,214170.7026207447
9,10,0.0998394794152,0.000435823818081,Baisley Park,10,Queens,1042775.8015680313,186452.53824371845
10,11,0.0792110389596,0.00026452053504,Bath Beach,11,Brooklyn,982164.4980031773,159335.25489003956
11,12,0.0366613013579,4.15116236727e-05,Battery Park,12,Manhattan,979889.680921644,195215.44749031216
12,13,0.0502813228631,0.000149358592917,Battery Park City,13,Manhattan,979844.2413037196,198508.15931824595
13,14,0.175213698053,0.00138177826442,Bay Ridge,14,Brooklyn,976332.8627958819,166469.26262110472
14,15,0.14433622262,0.000925219395547,Bay Terrace/Fort Totten,15,Queens,1043719.6651142985,225304.68907873333
15,16,0.141291873771,0.000871889446182,Bayside,16,Queens,1046653.0270440206,216690.18732249737
16,17,0.093522632948,0.000322957654799,Bedford,17,Brooklyn,997925.4938743934,191314.48353823274
17,18,0.0697995498569,0.000148850163948,Bedford Park,18,Bronx,1014322.5144993141,255779.45435959846
18,19,0.101824875452,0.000546661094782,Bellerose,19,Queens,1059467.4358350784,207808.57245142013
19,20,0.0514401924362,0.000134512633032,Belmont,20,Bronx,1015730.9563582167,251796.60542875528
20,21,0.115973569062,0.000380251345507,Bensonhurst East,21,Brooklyn,988177.3449688852,158599.73524519056
21,22,0.126170229196,0.000472062684608,Bensonhurst West,22,Brooklyn,985618.3764402121,161399.8251201138
22,23,0.290556028962,0.00219556576201,Bloomfield/Emerson Hill,23,Staten Island,939687.9597807154,160650.81214386225
23,24,0.0469999619287,6.07235737749e-05,Bloomingdale,24,Manhattan,993795.402611047,231438.43845261633
24,25,0.0471458199319,0.000124168267356,Boerum Hill,25,Brooklyn,988001.9071315527,189102.7986427024
25,26,0.12354780707,0.000534039927626,Borough Park,26,Brooklyn,986990.6424342841,168293.0555452928
26,27,0.202508808518,0.00134088762746,Breezy Point/Fort Tilden/Riis Beach,27,Queens,1011562.8482731357,142931.06795567274
