hour,weekday,count
10,2,50942
23,6,11434
17,2,15823
16,3,14130
17,1,5171
6,1,39335
3,1,33333
17,3,7026
7,4,53442
2,2,34158
22,6,6707
18,1,3259
9,4,59327
19,2,8865
8,3,47949
12,7,36808
20,2,6797
1,7,28065
2,3,42073
11,6,55127
4,7,40655
7,1,39637
12,2,39649
1,2,39119
16,2,18836
13,7,36584
0,7,19224
11,1,33101
9,1,39271
17,7,30918
15,1,15368
0,5,64464
23,2,43956
5,7,40850
15,5,39309
5,6,38624
12,1,28767
15,6,40260
14,3,40750
16,4,17047
10,5,73691
1,1,21314
6,5,54015
9,7,41971
1,3,48440
20,3,3191
11,4,65375
10,6,58439
19,1,2272
3,5,47622
21,5,7376
11,7,44099
13,5,64428
15,2,17412
2,5,48860
21,6,4045
7,2,41727
17,6,27391
14,2,27299
1,4,53773
5,4,46823
12,5,65180
21,3,9117
23,3,49574
21,2,9134
14,4,48892
10,4,69620
7,3,50609
11,5,69149
19,4,3257
10,1,38607
3,3,41553
23,5,38271
15,7,39410
9,3,56067
9,2,46134
21,4,9248
16,7,35534
8,5,52825
8,1,38977
13,4,58545
21,7,3478
4,3,43627
6,7,39545
14,6,44214
18,6,21139
2,1,29189
2,4,46346
11,3,58721
18,5,6239
20,5,3658
4,6,38160
6,3,47627
13,3,51428
19,6,13898
8,7,41538
3,6,36160
8,2,39723
7,5,56472
13,6,43584
6,2,38137
16,1,9907
9,5,63890
16,6,33954
23,7,8878
12,4,60726
19,7,16571
0,1,14372
17,4,8725
21,1,6710
18,2,11910
20,7,8307
18,4,4983
20,1,2819
22,7,4942
8,4,49345
18,7,24617
13,2,35256
10,3,64012
15,4,30477
3,2,33558
1,5,56825
5,2,35225
15,3,25711
14,7,39126
5,1,38353
5,3,43452
20,4,3532
23,4,52611
19,3,2725
0,6,48162
18,3,4099
12,6,46248
7,7,43016
0,2,42535
23,1,33340
4,2,35456
3,4,45247
19,5,3956
22,5,20320
14,1,23454
4,4,47071
11,2,45665
17,5,11190
6,6,43321
8,6,42498
0,3,54292
10,7,44959
20,6,7466
9,6,50569
1,6,42839
14,5,56745
4,1,37798
13,1,25720
3,7,37491
0,4,60941
16,5,19513
12,3,53575
2,7,34084
22,2,23266
4,5,48321
22,4,27340
5,5,48822
7,6,44243
22,3,26075
22,1,18396
6,4,50895
2,6,37205
