date,count
2020-01-01,121833
2020-01-02,168266
2020-01-03,192417
2020-01-04,193069
2020-01-05,155539
2020-01-06,180277
2020-01-07,202963
2020-01-08,219670
2020-01-09,234611
2020-01-10,236971
2020-01-11,225113
2020-01-12,170695
2020-01-13,211426
2020-01-14,219213
2020-01-15,220363
2020-01-16,247429
2020-01-17,247744
2020-01-18,191607
2020-01-19,164369
2020-01-20,167944
2020-01-21,217019
2020-01-22,225995
2020-01-23,238181
2020-01-24,244057
2020-01-25,230877
2020-01-26,170860
2020-01-27,192526
2020-01-28,220585
2020-01-29,231931
2020-01-30,248536
2020-01-31,246212
2020-02-01,218058
2020-02-02,179743
2020-02-03,197061
2020-02-04,219873
2020-02-05,237670
2020-02-06,249017
2020-02-07,261812
2020-02-08,227136
2020-02-09,166233
2020-02-10,214667
2020-02-11,222827
2020-02-12,241552
2020-02-13,251821
2020-02-14,265076
2020-02-15,207821
2020-02-16,148439
2020-02-17,153377
2020-02-18,196154
2020-02-19,221647
2020-02-20,244650
2020-02-21,245857
2020-02-22,219881
2020-02-23,162698
2020-02-24,199720
2020-02-25,232023
2020-02-26,235820
2020-02-27,263579
2020-02-28,260790
2020-02-29,238227
2020-03-01,162347
2020-03-02,196698
2020-03-03,226997
2020-03-04,233560
2020-03-05,250380
2020-03-06,250261
2020-03-07,218039
2020-03-08,140588
2020-03-09,177147
2020-03-10,186270
2020-03-11,184036
2020-03-12,172665
2020-03-13,138377
2020-03-14,89064
2020-03-15,55031
2020-03-16,63483
2020-03-17,45912
2020-03-18,37423
2020-03-19,30083
2020-03-20,27681
2020-03-21,16340
2020-03-22,10881
2020-03-23,13663
2020-03-24,12070
2020-03-25,11232
2020-03-26,11113
2020-03-27,11807
2020-03-28,7734
2020-03-29,6033
2020-03-30,9477
2020-03-31,9341
2020-04-01,9389
2020-04-02,8906
2020-04-03,9970
2020-04-04,6401
2020-04-05,5119
2020-04-06,8095
2020-04-07,7681
2020-04-08,7670
2020-04-09,7658
2020-04-10,8272
2020-04-11,6125
2020-04-12,4511
2020-04-13,7104
2020-04-14,8067
2020-04-15,8075
2020-04-16,8285
2020-04-17,9133
2020-04-18,5738
2020-04-19,5188
2020-04-20,7960
2020-04-21,7612
2020-04-22,8345
2020-04-23,8510
2020-04-24,8791
2020-04-25,6945
2020-04-26,4900
2020-04-27,8253
2020-04-28,8569
2020-04-29,8703
2020-04-30,8807
2020-05-01,10098
2020-05-02,7574
2020-05-03,5765
2020-05-04,9217
2020-05-05,9495
2020-05-06,9706
2020-05-07,9773
2020-05-08,10353
2020-05-09,7311
2020-05-10,6611
2020-05-11,9185
2020-05-12,9315
2020-05-13,9998
2020-05-14,10141
2020-05-15,11254
2020-05-16,8609
2020-05-17,6325
2020-05-18,10683
2020-05-19,11312
2020-05-20,11672
2020-05-21,11716
2020-05-22,12411
2020-05-23,7245
2020-05-24,7271
2020-05-25,7253
2020-05-26,11976
2020-05-27,12754
2020-05-28,12590
2020-05-29,13658
2020-05-30,10845
2020-05-31,8449
2020-06-01,13143
2020-06-02,13363
2020-06-03,13429
2020-06-04,14240
2020-06-05,14742
2020-06-06,11366
2020-06-07,9155
2020-06-08,15465
2020-06-09,16159
2020-06-10,16701
2020-06-11,16332
2020-06-12,18230
2020-06-13,12931
2020-06-14,10020
2020-06-15,16681
2020-06-16,17957
2020-06-17,18369
2020-06-18,18711
2020-06-19,20389
2020-06-20,13602
2020-06-21,11982
2020-06-22,21477
2020-06-23,22531
2020-06-24,23142
2020-06-25,23858
2020-06-26,24383
2020-06-27,16067
2020-06-28,14286
2020-06-29,22814
2020-06-30,23314
2020-07-01,23408
2020-07-02,25050
2020-07-03,18226
2020-07-04,13615
2020-07-05,13136
2020-07-06,22411
2020-07-07,24436
2020-07-08,24814
2020-07-09,26665
2020-07-10,21040
2020-07-11,17829
2020-07-12,15633
2020-07-13,23672
2020-07-14,26008
2020-07-15,26592
2020-07-16,26865
2020-07-17,25304
2020-07-18,20129
2020-07-19,15481
2020-07-20,24767
2020-07-21,27234
2020-07-22,28546
2020-07-23,27899
2020-07-24,26744
2020-07-25,22351
2020-07-26,16013
2020-07-27,26442
2020-07-28,29618
2020-07-29,31388
2020-07-30,31599
2020-07-31,30831
2020-08-01,25941
2020-08-02,17652
2020-08-03,29771
2020-08-04,23935
2020-08-05,33653
2020-08-06,34149
2020-08-07,32399
2020-08-08,25813
2020-08-09,19671
2020-08-10,29751
2020-08-11,32581
2020-08-12,33887
2020-08-13,32878
2020-08-14,34129
2020-08-15,27327
2020-08-16,17334
2020-08-17,29823
2020-08-18,33678
2020-08-19,33522
2020-08-20,35889
2020-08-21,35305
2020-08-22,28639
2020-08-23,21340
2020-08-24,31490
2020-08-25,35820
2020-08-26,36626
2020-08-27,35259
2020-08-28,36920
2020-08-29,26135
2020-08-30,25039
2020-08-31,33529
2020-09-01,37163
2020-09-02,38810
2020-09-03,40189
2020-09-04,39433
2020-09-05,29149
2020-09-06,23288
2020-09-07,24334
2020-09-08,40401
2020-09-09,44476
2020-09-10,44674
2020-09-11,47550
2020-09-12,39028
2020-09-13,26822
2020-09-14,40903
2020-09-15,46080
2020-09-16,47488
2020-09-17,49554
2020-09-18,50807
2020-09-19,41454
2020-09-20,31230
2020-09-21,42468
2020-09-22,47272
2020-09-23,50795
2020-09-24,52409
2020-09-25,55425
2020-09-26,44734
2020-09-27,31917
2020-09-28,37667
2020-09-29,50033
2020-09-30,52584
2020-10-01,56321
2020-10-02,55542
2020-10-03,46629
2020-10-04,30947
2020-10-05,43880
2020-10-06,50217
2020-10-07,52738
2020-10-08,55755
2020-10-09,55189
2020-10-10,45791
2020-10-11,30673
2020-10-12,39706
2020-10-13,50757
2020-10-14,55119
2020-10-15,59241
2020-10-16,54076
2020-10-17,51679
2020-10-18,34620
2020-10-19,47244
2020-10-20,53194
2020-10-21,55160
2020-10-22,58329
2020-10-23,58752
2020-10-24,50779
2020-10-25,35713
2020-10-26,49333
2020-10-27,55854
2020-10-28,58857
2020-10-29,61261
2020-10-30,62769
2020-10-31,57681
2020-11-01,38215
2020-11-02,51112
2020-11-03,45850
2020-11-04,45079
2020-11-05,53712
2020-11-06,56355
2020-11-07,53539
2020-11-08,38268
2020-11-09,47887
2020-11-10,57586
2020-11-11,55475
2020-11-12,58149
2020-11-13,57180
2020-11-14,49362
2020-11-15,34176
2020-11-16,48222
2020-11-17,55461
2020-11-18,57862
2020-11-19,56826
2020-11-20,56536
2020-11-21,46022
2020-11-22,32695
2020-11-23,48400
2020-11-24,51456
2020-11-25,46247
2020-11-26,23365
2020-11-27,31617
2020-11-28,34367
2020-11-29,31897
2020-11-30,42350
2020-12-01,51225
2020-12-02,52301
2020-12-03,53054
2020-12-04,52622
2020-12-05,40963
2020-12-06,36251
2020-12-07,47176
2020-12-08,52749
2020-12-09,53690
2020-12-10,55153
2020-12-11,56059
2020-12-12,44281
2020-12-13,37837
2020-12-14,47450
2020-12-15,56936
2020-12-16,43612
2020-12-17,27554
2020-12-18,53932
2020-12-19,41528
2020-12-20,30905
2020-12-21,47218
2020-12-22,51770
2020-12-23,51389
2020-12-24,40097
2020-12-25,17183
2020-12-26,26809
2020-12-27,25294
2020-12-28,37315
2020-12-29,42235
2020-12-30,43635
2020-12-31,38276
