locationID,Borough,Zone,service_zone,count,0_tip_ratio
138,Queens,LaGuardia Airport,Airports,550.0,0.0034568366801797
132,Queens,JFK Airport,Airports,446.0,0.0027070991550937
230,Manhattan,Times Sq/Theatre District,Yellow Zone,409.0,0.0047860327416127
162,Manhattan,Midtown East,Yellow Zone,392.0,0.003575141820039
48,Manhattan,Clinton East,Yellow Zone,367.0,0.0037728478318975
142,Manhattan,Lincoln Square East,Yellow Zone,360.0,0.0036755321864311
238,Manhattan,Upper West Side North,Yellow Zone,353.0,0.0038234083573424
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,338.0,0.0043533139280286
68,Manhattan,East Chelsea,Yellow Zone,314.0,0.0041136089713357
236,Manhattan,Upper East Side North,Yellow Zone,312.0,0.0023182375450458
170,Manhattan,Murray Hill,Yellow Zone,311.0,0.0031208605948701
239,Manhattan,Upper West Side South,Yellow Zone,307.0,0.0029028536848276
237,Manhattan,Upper East Side South,Yellow Zone,293.0,0.0027441137355535
161,Manhattan,Midtown Center,Yellow Zone,285.0,0.0029900855059539
263,Manhattan,Yorkville West,Yellow Zone,284.0,0.0029252415384298
75,Manhattan,East Harlem South,Boro Zone,272.0,0.0049542821755127
151,Manhattan,Manhattan Valley,Yellow Zone,259.0,0.0062295555127958
234,Manhattan,Union Sq,Yellow Zone,252.0,0.0030350110199804
141,Manhattan,Lenox Hill West,Yellow Zone,250.0,0.0025343146199541
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,246.0,0.003392822662952
74,Manhattan,East Harlem North,Boro Zone,245.0,0.0059268935820209
163,Manhattan,Midtown North,Yellow Zone,243.0,0.0038499318736335
166,Manhattan,Morningside Heights,Boro Zone,234.0,0.0066813237015675
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,229.0,0.0032036485219848
107,Manhattan,Gramercy,Yellow Zone,228.0,0.0028385393971838
79,Manhattan,East Village,Yellow Zone,218.0,0.002299553802175
233,Manhattan,UN/Turtle Bay South,Yellow Zone,218.0,0.0037467988931474
164,Manhattan,Midtown South,Yellow Zone,215.0,0.0034991781000276
43,Manhattan,Central Park,Yellow Zone,208.0,0.0045566070802663
249,Manhattan,West Village,Yellow Zone,203.0,0.0029359018859192
7,Queens,Astoria,Boro Zone,202.0,0.0116118647965049
90,Manhattan,Flatiron,Yellow Zone,198.0,0.0033717049247326
100,Manhattan,Garment District,Yellow Zone,193.0,0.0046347437683108
41,Manhattan,Central Harlem,Boro Zone,184.0,0.0062951178623969
140,Manhattan,Lenox Hill East,Yellow Zone,184.0,0.0026187324765523
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,181.0,0.0029884260405831
137,Manhattan,Kips Bay,Yellow Zone,140.0,0.0025927366335166
158,Manhattan,Meatpacking/West Village West,Yellow Zone,135.0,0.0035207594408512
148,Manhattan,Lower East Side,Yellow Zone,132.0,0.0030196966577448
50,Manhattan,Clinton West,Yellow Zone,129.0,0.0035449299258037
113,Manhattan,Greenwich Village North,Yellow Zone,127.0,0.0027871047029648
13,Manhattan,Battery Park City,Yellow Zone,124.0,0.0023159821445247
262,Manhattan,Yorkville East,Yellow Zone,121.0,0.0021725469072627
143,Manhattan,Lincoln Square West,Yellow Zone,119.0,0.0026335590669676
145,Queens,Long Island City/Hunters Point,Boro Zone,116.0,0.0084265581868371
87,Manhattan,Financial District North,Yellow Zone,114.0,0.0023357305304566
24,Manhattan,Bloomingdale,Yellow Zone,112.0,0.0069379916991885
42,Manhattan,Central Harlem North,Boro Zone,106.0,0.0058098109070978
223,Queens,Steinway,Boro Zone,103.0,0.0116939146230699
226,Queens,Sunnyside,Boro Zone,101.0,0.011420171867933
114,Manhattan,Greenwich Village South,Yellow Zone,95.0,0.0023989898989898
260,Queens,Woodside,Boro Zone,90.0,0.0156739811912225
261,Manhattan,World Trade Center,Yellow Zone,89.0,0.0035882756118211
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,84.0,0.0029136316337148
181,Brooklyn,Park Slope,Boro Zone,81.0,0.0054278630302218
129,Queens,Jackson Heights,Boro Zone,80.0,0.0121691512017036
179,Queens,Old Astoria,Boro Zone,78.0,0.0124560843181092
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,77.0,0.0064424364123159
211,Manhattan,SoHo,Yellow Zone,76.0,0.0031449143424646
244,Manhattan,Washington Heights South,Boro Zone,75.0,0.0036615730117658
125,Manhattan,Hudson Sq,Yellow Zone,69.0,0.0031885397412199
116,Manhattan,Hamilton Heights,Boro Zone,68.0,0.0048592253823067
146,Queens,Long Island City/Queens Plaza,Boro Zone,64.0,0.0096881622767181
25,Brooklyn,Boerum Hill,Boro Zone,62.0,0.0058946567788552
33,Brooklyn,Brooklyn Heights,Boro Zone,61.0,0.0037834149972089
88,Manhattan,Financial District South,Yellow Zone,59.0,0.0024170421958213
95,Queens,Forest Hills,Boro Zone,58.0,0.0064623955431754
82,Queens,Elmhurst,Boro Zone,56.0,0.0105322550310325
40,Brooklyn,Carroll Gardens,Boro Zone,55.0,0.0079767947788252
255,Brooklyn,Williamsburg (North Side),Boro Zone,49.0,0.0035615641808402
61,Brooklyn,Crown Heights North,Boro Zone,45.0,0.0065473592317765
97,Brooklyn,Fort Greene,Boro Zone,43.0,0.0046211714132187
112,Brooklyn,Greenpoint,Boro Zone,41.0,0.0042779632721202
80,Brooklyn,East Williamsburg,Boro Zone,40.0,0.0055096418732782
70,Queens,East Elmhurst,Boro Zone,40.0,0.0189663347558084
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,40.0,0.0041476565740356
14,Brooklyn,Bay Ridge,Boro Zone,39.0,0.0097573179884913
130,Queens,Jamaica,Boro Zone,39.0,0.0066101694915254
152,Manhattan,Manhattanville,Boro Zone,38.0,0.0050006579813133
4,Manhattan,Alphabet City,Yellow Zone,36.0,0.0032588032950122
256,Brooklyn,Williamsburg (South Side),Boro Zone,36.0,0.0038860103626943
49,Brooklyn,Clinton Hill,Boro Zone,34.0,0.0047894069587265
216,Queens,South Ozone Park,Boro Zone,30.0,0.0130321459600347
83,Queens,Elmhurst/Maspeth,Boro Zone,30.0,0.0180505415162454
195,Brooklyn,Red Hook,Boro Zone,29.0,0.0124516960068699
243,Manhattan,Washington Heights North,Boro Zone,29.0,0.0035434995112414
134,Queens,Kew Gardens,Boro Zone,27.0,0.0094903339191564
193,Queens,Queensbridge/Ravenswood,Boro Zone,26.0,0.0110450297366185
17,Brooklyn,Bedford,Boro Zone,23.0,0.0046464646464646
106,Brooklyn,Gowanus,Boro Zone,19.0,0.0082788671023965
93,Queens,Flushing Meadows-Corona Park,Boro Zone,18.0,0.0123881624225739
168,Bronx,Mott Haven/Port Morris,Boro Zone,17.0,0.0067567567567567
247,Bronx,West Concourse,Boro Zone,16.0,0.0083769633507853
36,Brooklyn,Bushwick North,Boro Zone,15.0,0.0047740292807129
69,Bronx,East Concourse/Concourse Village,Boro Zone,14.0,0.0091623036649214
37,Brooklyn,Bushwick South,Boro Zone,14.0,0.0033955857385398
127,Manhattan,Inwood,Boro Zone,13.0,0.003477795612627
182,Bronx,Parkchester,Boro Zone,12.0,0.0140845070422535
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,11.0,0.0050412465627864
198,Queens,Ridgewood,Boro Zone,11.0,0.0056818181818181
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,10.0,0.0030284675953967
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,10.0,0.0063897763578274
210,Brooklyn,Sheepshead Bay,Boro Zone,7.0,0.0049575070821529
123,Brooklyn,Homecrest,Boro Zone,4.0,0.0057061340941512
248,Bronx,West Farms/Bronx River,Boro Zone,4.0,0.0079840319361277
242,Bronx,Van Nest/Morris Park,Boro Zone,4.0,0.0034995625546806
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,4.0,0.0052493438320209
192,Queens,Queensboro Hill,Boro Zone,3.0,0.0057142857142857
205,Queens,Saint Albans,Boro Zone,3.0,0.0019933554817275
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,2.0,0.0273972602739726
150,Brooklyn,Manhattan Beach,Boro Zone,2.0,0.0036563071297989
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,1.0,0.0010928961748633
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,1.0,0.0012658227848101
214,Staten Island,South Beach/Dongan Hills,Boro Zone,1.0,0.0125
1,EWR,Newark Airport,EWR,,
2,Queens,Jamaica Bay,Boro Zone,,
3,Bronx,Allerton/Pelham Gardens,Boro Zone,,
5,Staten Island,Arden Heights,Boro Zone,,
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,,
8,Queens,Astoria Park,Boro Zone,,
9,Queens,Auburndale,Boro Zone,,
10,Queens,Baisley Park,Boro Zone,,
11,Brooklyn,Bath Beach,Boro Zone,,
12,Manhattan,Battery Park,Yellow Zone,,
15,Queens,Bay Terrace/Fort Totten,Boro Zone,,
16,Queens,Bayside,Boro Zone,,
18,Bronx,Bedford Park,Boro Zone,,
19,Queens,Bellerose,Boro Zone,,
20,Bronx,Belmont,Boro Zone,,
21,Brooklyn,Bensonhurst East,Boro Zone,,
22,Brooklyn,Bensonhurst West,Boro Zone,,
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,,
26,Brooklyn,Borough Park,Boro Zone,,
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,,
28,Queens,Briarwood/Jamaica Hills,Boro Zone,,
29,Brooklyn,Brighton Beach,Boro Zone,,
30,Queens,Broad Channel,Boro Zone,,
31,Bronx,Bronx Park,Boro Zone,,
32,Bronx,Bronxdale,Boro Zone,,
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,,
35,Brooklyn,Brownsville,Boro Zone,,
38,Queens,Cambria Heights,Boro Zone,,
39,Brooklyn,Canarsie,Boro Zone,,
44,Staten Island,Charleston/Tottenville,Boro Zone,,
45,Manhattan,Chinatown,Yellow Zone,,
46,Bronx,City Island,Boro Zone,,
47,Bronx,Claremont/Bathgate,Boro Zone,,
51,Bronx,Co-Op City,Boro Zone,,
52,Brooklyn,Cobble Hill,Boro Zone,,
53,Queens,College Point,Boro Zone,,
54,Brooklyn,Columbia Street,Boro Zone,,
55,Brooklyn,Coney Island,Boro Zone,,
56,Queens,Corona,Boro Zone,,
57,Queens,Corona,Boro Zone,,
58,Bronx,Country Club,Boro Zone,,
59,Bronx,Crotona Park,Boro Zone,,
60,Bronx,Crotona Park East,Boro Zone,,
62,Brooklyn,Crown Heights South,Boro Zone,,
63,Brooklyn,Cypress Hills,Boro Zone,,
64,Queens,Douglaston,Boro Zone,,
67,Brooklyn,Dyker Heights,Boro Zone,,
71,Brooklyn,East Flatbush/Farragut,Boro Zone,,
73,Queens,East Flushing,Boro Zone,,
76,Brooklyn,East New York,Boro Zone,,
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,,
78,Bronx,East Tremont,Boro Zone,,
81,Bronx,Eastchester,Boro Zone,,
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,,
85,Brooklyn,Erasmus,Boro Zone,,
86,Queens,Far Rockaway,Boro Zone,,
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,,
91,Brooklyn,Flatlands,Boro Zone,,
92,Queens,Flushing,Boro Zone,,
94,Bronx,Fordham South,Boro Zone,,
96,Queens,Forest Park/Highland Park,Boro Zone,,
98,Queens,Fresh Meadows,Boro Zone,,
99,Staten Island,Freshkills Park,Boro Zone,,
101,Queens,Glen Oaks,Boro Zone,,
102,Queens,Glendale,Boro Zone,,
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,,
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,,
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,,
108,Brooklyn,Gravesend,Boro Zone,,
109,Staten Island,Great Kills,Boro Zone,,
110,Staten Island,Great Kills Park,Boro Zone,,
111,Brooklyn,Green-Wood Cemetery,Boro Zone,,
115,Staten Island,Grymes Hill/Clifton,Boro Zone,,
117,Queens,Hammels/Arverne,Boro Zone,,
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,,
119,Bronx,Highbridge,Boro Zone,,
120,Manhattan,Highbridge Park,Boro Zone,,
121,Queens,Hillcrest/Pomonok,Boro Zone,,
122,Queens,Hollis,Boro Zone,,
124,Queens,Howard Beach,Boro Zone,,
126,Bronx,Hunts Point,Boro Zone,,
128,Manhattan,Inwood Hill Park,Boro Zone,,
131,Queens,Jamaica Estates,Boro Zone,,
133,Brooklyn,Kensington,Boro Zone,,
