PULocationID,Borough,Zone,service_zone,avg,median,count
52,Brooklyn,Cobble Hill,Boro Zone,0.197460923257089,0.1999999999999999,2378.0
223,Queens,Steinway,Boro Zone,0.1940304232288821,0.1999999999999999,2574.0
138,Queens,LaGuardia Airport,Airports,0.1917634977541151,0.1998931052912881,104157.0
40,Brooklyn,Carroll Gardens,Boro Zone,0.1905404788222552,0.1999999999999999,1648.0
255,Brooklyn,Williamsburg (North Side),Boro Zone,0.1903926730099672,0.1999999999999999,4184.0
256,Brooklyn,Williamsburg (South Side),Boro Zone,0.190133702417323,0.1999999999999999,2072.0
260,Queens,Woodside,Boro Zone,0.1896000833885355,0.1999999999999999,3129.0
181,Brooklyn,Park Slope,Boro Zone,0.1895893776950995,0.1999999999999999,3113.0
112,Brooklyn,Greenpoint,Boro Zone,0.1882484626654783,0.1999999999999999,1427.0
230,Manhattan,Times Sq/Theatre District,Yellow Zone,0.1878003019642705,0.1999999999999999,50104.0
33,Brooklyn,Brooklyn Heights,Boro Zone,0.1875164084449313,0.1999999999999999,6006.0
145,Queens,Long Island City/Hunters Point,Boro Zone,0.1872161240990986,0.1999999999999999,3581.0
7,Queens,Astoria,Boro Zone,0.1862757620294836,0.1999999999999999,5698.0
80,Brooklyn,East Williamsburg,Boro Zone,0.1856491885668103,0.1999999999999999,1868.0
161,Manhattan,Midtown Center,Yellow Zone,0.1855403560703439,0.1999999999999999,49771.0
162,Manhattan,Midtown East,Yellow Zone,0.1852809774735046,0.1999999999999999,61714.0
166,Manhattan,Morningside Heights,Boro Zone,0.1847568248761266,0.1999999999999999,14567.0
163,Manhattan,Midtown North,Yellow Zone,0.1841364577487307,0.1999999999999999,33038.0
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,0.1838425002347698,0.1999999999999999,4909.0
239,Manhattan,Upper West Side South,Yellow Zone,0.1837181438042323,0.1999999999999999,52020.0
