year,tip_range_index,count,ratio_of_year
2017,0,502247,0.1563888942515178
2017,1,38487,0.011984022548782105
2017,2,161549,0.050302877821945084
2017,3,287605,0.08955400018558156
2017,4,1336682,0.4162139742913493
2017,5,548382,0.17075433921444197
2017,6,246894,0.07687747195569956
2017,7,53074,0.01652610005337027
2017,8,10098,0.003144299625785374
2017,9,26508,0.008254020051526907
2018,0,820460,0.3191595716167922
2018,1,24431,0.009503677807778381
2018,2,101443,0.03946140509412068
2018,3,194627,0.07571005283019455
2018,4,867803,0.3375760350629734
2018,5,344061,0.13383999386934786
2018,6,157596,0.06130496532252638
2018,7,35557,0.013831700372935038
2018,8,6756,0.002628089200988529
2018,9,17955,0.00698450882234296
2019,0,456588,0.29219724536382263
2019,1,22177,0.014192353523162008
2019,2,72028,0.04609491092421487
2019,3,117096,0.07493654814213728
2019,4,543723,0.34796000517086245
2019,5,206045,0.13186019216665537
2019,6,104136,0.06664268956522518
2019,7,24068,0.015402514523851883
2019,8,4389,0.002808776643060741
2019,9,12352,0.007904763977007581
2020,0,45031,0.13228731826687778
2020,1,15553,0.04568996160433369
2020,2,25832,0.0758865227392238
2020,3,30411,0.08933822557380516
2020,4,132163,0.3882545100953869
2020,5,50804,0.14924662826120805
2020,6,27974,0.08217906422681351
2020,7,7011,0.020596175709379765
2020,8,1364,0.004007015214319498
2020,9,4260,0.012514578308651804
2021,0,39032,0.20833288854254514
2021,1,4003,0.021365970302208652
2021,2,10702,0.05712181218442094
2021,3,15104,0.08061744078055445
2021,4,66025,0.35240774149471055
2021,5,26811,0.143103429870726
2021,6,17105,0.09129775718692956
2021,7,4713,0.02515558781771406
2021,8,858,0.0045795659553572385
2021,9,3001,0.016017805864833416
