the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Furn_Code,Address,Latitude,Longitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.97724856366214 40.659636752574926),3,Brooklyn,307,39,44,21,9,BR02309AB,10TH AVE,40.659645,-73.97725,Windsor Terrace-South Slope,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95524256404973 40.77351973027252),1,Manhattan,108,5,73,28,12,MN01368AB,3RD AV (MN0103),40.773528,-73.955244,Upper East Side-Yorkville,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95531356386464 40.77354872971131),1,Manhattan,108,5,73,28,12,MN0103AB,3RD AV (MN01368),40.773557,-73.955315,Upper East Side-Yorkville,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9929175535986 40.75188473565295),1,Manhattan,105,3,75,31,10,MN0230AB,8TH AVE (MN01636),40.751893,-73.992919,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90542657431457 40.86287071055283),2,Bronx,207,14,78,33,13,BX03432AB,ANDREW (BX03514),40.862879,-73.905428,University Heights (North)-Fordham,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.23945648749525 40.52797178812044),5,Staten Island,503,51,62,24,11,SI05196AB,ARDEN (SI05151),40.52798,-74.239458,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.82459860036188 40.87379170549407),2,Bronx,210,12,82,36,16,BX03285AB,BELLAMY LOOP,40.8738,-73.8246,Co-op City,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4
POINT (-73.98314456062252 40.68971874756527),3,Brooklyn,302,33,52,25,8,BR02544AB,BOND ST (BR02949),40.689727,-73.983146,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88012258353343 40.85644571110443),2,Bronx,227,15,78,33,15,BX03400AB,BOSTON,40.856454,-73.880124,Bronx Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.1149515256457 40.5651327768204),5,Staten Island,502,50,64,24,11,SI05140AB,CANNON BLVD (SI05122),40.565141,-74.114953,Oakwood-Richmondtown,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-74.11490352592521 40.56518277612112),5,Staten Island,502,50,64,24,11,SI05122AB,CANNON BLVD (SI05140),40.565191,-74.114905,Oakwood-Richmondtown,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.95248257254451 40.65139375385594),3,Brooklyn,317,40,42,20,9,BR02194AB,CHURCH AVE (BR03041),40.651402,-73.952484,East Flatbush-Erasmus,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94393356724622 40.784157727473115),1,Manhattan,111,8,68,29,13,MN0866AB,E 97 ST (MN01647),40.784166,-73.943935,East Harlem (South),AE,,2
POINT (-73.950649565955 40.7715837297289),1,Manhattan,108,5,76,28,12,MN01336AB,FIRST AV (MN0080),40.771592,-73.950651,Upper East Side-Yorkville,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95071656598036 40.771611729838085),1,Manhattan,108,5,76,28,12,MN0080AB,FIRST AVE (MN01336),40.77162,-73.950718,Upper East Side-Yorkville,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9289985779884 40.67939174768169),3,Brooklyn,303,36,56,25,8,BR02628AB,FULTON ST (BR03067),40.6794,-73.929,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8710605930516 40.732693734731306),4,Queens,404,25,35,16,6,QN04490AB,HOFFMAN DR (QN04010),40.732702,-73.871062,Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.8709985936505 40.73279173524029),4,Queens,404,25,35,16,6,QN04010AB,HOFFMAN DR (QN04490),40.7328,-73.871,Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.985780559206 40.69077074710673),3,Brooklyn,302,33,52,25,8,BR02957AB,HOYT AVE (BR02543),40.690779,-73.985782,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9856795598025 40.690725747647235),3,Brooklyn,302,33,52,25,8,BR02543AB,HOYT ST (BR02957),40.690734,-73.985681,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92009856934601 40.86789171004094),1,Manhattan,112,10,72,31,13,MN0326AB,ISHAM (MN01462),40.8679,-73.9201,Inwood,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.71739864194461 40.74419172700371),4,Queens,413,23,24,11,3,QN04723AB,LITTLE NECK PKWY (QN04722),40.7442,-73.7174,Glen Oaks-Floral Park-New Hyde Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.71737064178475 40.74429572769679),4,Queens,413,23,24,11,3,QN04722AB,LITTLE NECK PKWY (QN04723),40.744304,-73.717372,Glen Oaks-Floral Park-New Hyde Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91876057852573 40.732705736983014),4,Queens,402,30,30,15,14,QN0094AB,LONG ISLAND EXPWY,40.732714,-73.918762,Calvary & Mount Zion Cemeteries,X,AREA OF MINIMAL FLOOD HAZARD,
